Estacion;lat;lon;temp;temp_rocio;dirviento;vvel;pres;precipi;nubosidad
AEROPARQUE BUENOS AIRES;-34.34;-58.25;18;12.7;70;10;1017.5;0;0.45
AZUL AERO;-36.5;-59.53;18.2;7.4;30;11.4;1016.4;0;0.6125
BAHIA BLANCA AERO;-38.44;-62.1;20.6;10.2;290;17.4;1014.9;0;0.85
BARILOCHE AERO;-41.09;-71.1;11.5;-1;290;29.7;920.2;3;0.7625
BOLIVAR AERO;-36.12;-61.04;20.1;7.9;30;9.9;1013;0;0.725
BUENOS AIRES;-34.35;-58.29;20.5;13.2;340;9.5;1017.4;0;0.425
CATAMARCA AERO;-28.36;-65.46;31.4;7.3;0;23.2;1008.1;0;0.1
CERES AERO;-29.53;-61.57;28.3;13;50;17.1;1012.5;0;0.1375
COMODORO RIVADAVIA AERO;-45.47;-67.3;17.5;4.4;270;25.5;1008.5;0;0.475
CONCORDIA AERO;-31.18;-58.01;24.2;12.5;50;13.4;1018.3;0;0.075
CORDOBA AERO;-31.19;-64.13;28.3;7.9;0;20.4;1012.2;0;0.35
CORRIENTES AERO;-27.27;-58.46;28;15.5;50;11.8;1016.9;0;0.0625
CHAMICAL AERO;-30.22;-66.17;26.7;10.6;140;6;1010.8;0;0.4375
DOLORES AERO;-36.21;-57.44;18.7;10.6;0;16.7;1015.5;0;0.275
EL BOLSON AERO;-41.58;-71.31;14.8;-0.2;230;5.2;1018.1;4;0.7
EL CALAFATE AERO;-50.16;-72.03;6.5;-1;290;22;1005.1;NaN;0.3625
ESQUEL AERO;-42.56;-71.09;12;-0.4;270;22.5;921.5;NaN;0.375
EZEIZA AERO;-34.49;-58.32;20.7;12.8;30;13.7;1016.8;0;0.7
FORMOSA AERO;-26.12;-58.14;29.5;16.8;70;15.1;1016.9;0;0.1125
GENERAL PICO AERO;-35.42;-63.45;24;6.5;180;18.1;1014;0;0.325
GUALEGUAYCHU AERO;-33;-58.37;23.5;11.4;50;11.8;1016;0;0.35
IGUAZU AERO;-25.44;-54.28;25.6;12.6;50;10;1020.9;0;0.1125
JUJUY AERO;-24.23;-65.05;25.3;10.8;340;10.2;912.5;0;0
JUNIN AERO;-34.33;-60.55;23.5;8.3;30;21.5;1014.6;0;0.5
LA PLATA AERO;-34.58;-57.54;19;12;30;10.2;1018.2;0;0.6125
LA QUIACA OBS.;-22.06;-65.36;16.5;-4.5;300;4.4;673.3;0;0
LA RIOJA AERO;-29.23;-66.49;27.6;10;300;5.1;1009.1;0;0.25
LABOULAYE AERO;-34.08;-63.22;26.7;7.9;0;17.6;1013.2;0;0.4375
LAS FLORES AERO;-36.02;-59.08;19.5;11;0;6.2;1016.4;0;0.625
LAS LOMITAS;-24.42;-60.35;31;16.6;70;4.9;1016.1;0;0.0875
MALARGUE AERO;-35.3;-69.35;23.9;4;270;14.6;857.3;0;0.3875
MAQUINCHAO;-41.15;-68.44;15.5;-4.4;270;23.4;913.3;0;0.35
MAR DEL PLATA AERO;-37.56;-57.35;18.5;9.7;0;13.9;1016.8;NaN;0.6375
MARCOS JUAREZ AERO;-32.42;-62.09;27.6;8.1;30;18.1;1012.3;0;0.35
MENDOZA AERO;-32.5;-68.47;24.5;6.4;180;9.3;1012.8;0;0.3125
MONTE CASEROS AERO;-30.16;-57.39;26.8;12.2;50;14.6;1016.4;0;0.1125
NEUQUEN AERO;-38.57;-68.08;19.6;5;270;15.5;1017.8;0;0.4
ORAN AERO;-23.09;-64.19;30.2;13;320;6.5;1012;0;0.025
PARANA AERO;-31.47;-60.29;24.4;9.6;0;15.1;1015.8;0;0.4
PASO DE LOS LIBRES AERO;-29.41;-57.09;27.6;13.3;70;10.9;1018.9;0;0.1125
PERITO MORENO AERO;-46.31;-71.01;8;-1.3;270;32.9;1012.4;0;0.4375
PILAR OBS.;-31.4;-63.53;27.8;10.1;0;15.8;1010.5;0;0.4375
POSADAS AERO;-27.22;-55.58;27.6;15.8;70;8.8;1019.3;0;0.0125
;-26.49;-60.27;29.9;13.7;70;13.2;1012.5;0;0.15
PUERTO DESEADO AERO;-47.44;-65.55;14.9;0.2;270;28.4;1006.5;NaN;0.7125
RECONQUISTA AERO;-29.11;-59.42;28.5;14.1;50;21.3;1016.2;0;0.05
RESISTENCIA AERO;-27.27;-59.03;29.4;15.9;70;14.1;1016.6;0;0.0625
RIO CUARTO AERO;-33.07;-64.14;28.1;8.6;0;22.7;1012.4;0;0.5
RIO GALLEGOS AERO;-51.37;-69.17;8.5;-0.6;270;25.9;1000.6;0;0.4875
RIO GRANDE B.A.;-53.48;-67.45;6.2;-1.9;270;29.9;996.4;0.5;0.2375
ROSARIO AERO;-32.55;-60.47;23.9;10.2;30;12.7;1015.1;0;0.6
SALTA AERO;-24.51;-65.29;24;5.2;340;7.6;879.9;0;0
SAN ANTONIO OESTE AERO;-40.47;-65.06;20.7;-2.4;290;17;1014.3;0;0.6
SAN JUAN AERO;-31.34;-68.25;24.6;4;200;11.6;1013.3;0;0.15
SAN JULIAN AERO;-49.19;-67.47;12.9;-0.1;270;28.7;1005.5;0;0.3125
SAN LUIS AERO;-33.16;-66.21;25.5;9.6;120;15.5;1012.7;0;0.2625
SAN MARTIN (MZA);-33.05;-68.25;25.2;7.2;140;4.4;1010.3;0;0.125
SAN RAFAEL AERO;-34.35;-68.24;22;5.5;180;10;1015.5;0;0.25
SANTA ROSA AERO;-36.34;-64.16;24.1;7.9;200;16.2;1014.9;0;0.45
SANTIAGO DEL ESTERO AERO;-27.46;-64.18;30;12;30;10.7;1011.3;0;0.05
SAUCE VIEJO AERO;-31.42;-60.49;26.3;12.9;50;16.7;1015.2;0;0.1125
TANDIL AERO;-37.14;-59.15;17.8;6.6;30;11.1;1016.6;0;0.65
TARTAGAL AERO;-22.39;-63.49;29.4;12.4;30;13.5;1012.4;0;0.125
TRELEW AERO;-43.12;-65.16;21;3.5;270;18.3;1011.5;NaN;0.5125
TRES ARROYOS;-38.2;-60.15;19.5;9.7;340;11.5;1013.8;0;0.95
TUCUMAN AERO;-26.51;-65.06;30.1;12.6;340;9.3;1009.7;0;0
USHUAIA AERO;-54.48;-68.19;6;0;230;24.6;994.1;0.3;0.425
VIEDMA AERO;-40.51;-63.01;17.4;5.9;290;16.9;1012.9;0;0.725
VILLA MARIA DEL RIO SECO;-29.54;-63.41;28.5;10.6;0;8.2;1013.3;0;0.175
VILLA DOLORES AERO;-31.57;-65.08;28.7;11.8;340;21.8;1013;0;0.65
VILLA REYNOLDS AERO;-33.44;-65.23;29.1;6.2;140;4.6;1013.8;0;0.4
